Age of respondent,Race of respondent,Can people be trusted
54,White,Can trust
81,White,Not applicable
41,White,Can trust
54,White,Cannot trust
57,White,Cannot trust
26,White,Not applicable
72,Black,Not applicable
68,Black,Depends
46,Black,Cannot trust
47,Black,Not applicable
62,White,Not applicable
67,White,Cannot trust
52,White,Cannot trust
78,White,Cannot trust
44,White,Can trust
27,Other,Not applicable
65,Black,Cannot trust
33,White,Can trust
43,White,Cannot trust
70,White,Don't know
38,Black,Not applicable
71,White,Cannot trust
51,Black,Cannot trust
38,White,Cannot trust
49,White,Not applicable
28,White,Cannot trust
50,Black,Not applicable
33,White,Cannot trust
56,Black,Can trust
55,White,Can trust
52,White,Can trust
66,White,Can trust
20,Other,Cannot trust
76,White,Cannot trust
27,Black,Not applicable
48,White,Cannot trust
53,Black,Cannot trust
30,Black,Cannot trust
76,White,Cannot trust
49,White,Not applicable
49,White,Cannot trust
42,White,Cannot trust
29,White,Cannot trust
30,White,Not applicable
19,White,Cannot trust
31,White,Can trust
31,Black,Cannot trust
51,Black,Not applicable
52,White,Not applicable
52,Black,Cannot trust
43,White,Depends
25,White,Cannot trust
26,White,Can trust
26,White,Cannot trust
56,Other,Cannot trust
70,Other,Cannot trust
32,White,Can trust
36,White,Can trust
63,White,Can trust
49,White,Not applicable
53,White,Not applicable
50,White,Not applicable
60,Black,Cannot trust
50,White,Cannot trust
64,White,Not applicable
62,White,Not applicable
32,Black,Cannot trust
53,Black,Cannot trust
54,Black,Not applicable
22,White,Can trust
47,White,Cannot trust
20,White,Cannot trust
37,White,Can trust
25,White,Not applicable
49,White,Not applicable
52,White,Not applicable
79,White,Not applicable
89 or older,White,Cannot trust
34,White,Can trust
33,White,Can trust
29,White,Cannot trust
26,Other,Not applicable
47,White,Can trust
51,White,Not applicable
No answer,White,Not applicable
62,White,Cannot trust
61,White,Can trust
63,White,Can trust
62,White,Not applicable
47,White,Can trust
60,Other,Cannot trust
36,White,Not applicable
20,White,Not applicable
41,Other,Cannot trust
32,White,Not applicable
37,White,Can trust
54,White,Not applicable
29,White,Can trust
41,White,Cannot trust
31,White,Not applicable
35,White,Cannot trust
78,White,Can trust
72,White,Cannot trust
89 or older,White,Not applicable
34,White,Cannot trust
37,White,Cannot trust
78,White,Not applicable
55,White,Not applicable
75,White,Can trust
47,White,Cannot trust
40,White,Cannot trust
33,White,Not applicable
57,White,Can trust
52,White,Can trust
56,White,Cannot trust
45,White,Can trust
71,White,Not applicable
44,Black,Can trust
58,White,Can trust
61,White,Can trust
60,White,Cannot trust
46,White,Cannot trust
32,White,Can trust
33,White,Not applicable
25,Other,Not applicable
29,Black,Cannot trust
78,White,Can trust
71,Other,Cannot trust
34,Other,Cannot trust
67,Other,Not applicable
37,White,Cannot trust
73,Other,Not applicable
20,Black,Cannot trust
67,White,Cannot trust
22,White,Cannot trust
32,White,Can trust
56,White,Can trust
45,White,Can trust
39,White,Can trust
28,White,Cannot trust
43,White,Not applicable
51,Black,Not applicable
51,White,Can trust
66,White,Cannot trust
32,Other,Can trust
62,White,Can trust
75,White,Cannot trust
43,White,Not applicable
74,White,Not applicable
49,White,Can trust
41,White,Cannot trust
37,White,Depends
41,White,Cannot trust
73,White,Cannot trust
65,White,Not applicable
21,Black,Not applicable
83,White,Cannot trust
47,White,Cannot trust
78,White,Can trust
46,Other,Not applicable
27,White,Not applicable
40,White,Cannot trust
36,White,Cannot trust
46,White,Not applicable
89 or older,White,Not applicable
21,Other,Cannot trust
54,White,Cannot trust
58,White,Not applicable
60,White,Cannot trust
56,Black,Not applicable
44,White,Cannot trust
86,White,Can trust
38,Black,Cannot trust
19,White,Cannot trust
69,Black,Not applicable
45,White,Not applicable
52,Black,Can trust
45,Black,Cannot trust
41,White,Cannot trust
56,White,Not applicable
61,White,Can trust
78,White,Cannot trust
20,White,Cannot trust
81,Black,Not applicable
70,White,Cannot trust
74,Black,Cannot trust
56,White,Cannot trust
25,White,Cannot trust
22,White,Cannot trust
46,Black,Not applicable
44,White,Not applicable
22,White,Cannot trust
No answer,White,Can trust
33,White,Not applicable
41,White,Can trust
56,White,Not applicable
72,White,Not applicable
49,White,Not applicable
50,White,Not applicable
58,White,Cannot trust
32,Black,Cannot trust
71,White,Can trust
76,White,Can trust
26,Black,Cannot trust
53,Black,Cannot trust
35,Other,Cannot trust
27,White,Cannot trust
50,White,Not applicable
47,Black,Cannot trust
69,White,Cannot trust
68,White,Cannot trust
58,White,Cannot trust
52,Black,Not applicable
62,White,Not applicable
88,White,Cannot trust
56,White,Cannot trust
88,White,Cannot trust
69,White,Cannot trust
47,White,Cannot trust
51,White,Not applicable
47,White,Cannot trust
20,Black,Not applicable
20,Black,Not applicable
38,Black,Can trust
58,Black,Cannot trust
34,Black,Cannot trust
67,Black,Not applicable
22,White,Cannot trust
30,Black,Cannot trust
68,Black,Not applicable
