Age.of.respondent,Region.of.interview,Can.people.be.trusted
72,South atlantic,Cannot trust
79,South atlantic,Not applicable
89 or older,South atlantic,Can trust
53,South atlantic,Not applicable
47,South atlantic,Cannot trust
48,South atlantic,Not applicable
63,South atlantic,Not applicable
43,South atlantic,Cannot trust
40,South atlantic,Cannot trust
68,South atlantic,Depends
40,South atlantic,Cannot trust
33,South atlantic,Cannot trust
35,South atlantic,Cannot trust
30,E. nor. central,Cannot trust
56,E. nor. central,Cannot trust
40,E. nor. central,Cannot trust
60,E. nor. central,Can trust
58,E. nor. central,Can trust
59,E. nor. central,Can trust
30,E. nor. central,Not applicable
73,E. nor. central,Not applicable
39,E. nor. central,Cannot trust
58,E. nor. central,Not applicable
69,E. nor. central,Cannot trust
25,E. nor. central,Cannot trust
56,E. nor. central,Not applicable
55,E. nor. central,Not applicable
71,E. nor. central,Cannot trust
22,E. nor. central,Cannot trust
31,E. nor. central,Not applicable
25,Pacific,Cannot trust
73,Pacific,Not applicable
40,Pacific,Cannot trust
73,Pacific,Cannot trust
54,Pacific,Can trust
67,Pacific,Can trust
61,Pacific,Not applicable
39,Pacific,Not applicable
56,Pacific,Can trust
52,Pacific,Not applicable
50,Pacific,Can trust
76,Pacific,Cannot trust
59,Pacific,Cannot trust
29,Pacific,Not applicable
73,Pacific,Can trust
53,Mountain,Not applicable
42,Mountain,Cannot trust
58,Mountain,Cannot trust
23,Mountain,Cannot trust
51,Mountain,Can trust
53,Mountain,Cannot trust
22,Mountain,Cannot trust
71,Mountain,Not applicable
28,Mountain,Can trust
60,Mountain,Not applicable
37,Mountain,Can trust
38,Mountain,Can trust
41,Mountain,Can trust
43,Mountain,Not applicable
34,Mountain,Cannot trust
27,Mountain,Not applicable
22,W. nor. central,Not applicable
25,W. nor. central,Cannot trust
42,W. nor. central,Cannot trust
55,W. nor. central,Can trust
51,W. nor. central,Can trust
38,E. nor. central,Can trust
63,Pacific,Can trust
53,Pacific,Cannot trust
78,Pacific,Cannot trust
36,Pacific,Cannot trust
